bcodmoid,name,shortname,definition,date
BCODMO/675,Inverted Microscope,,"An inverted microscope is a microscope with its light source and condenser on the top, above the stage pointing down, while the objectives and turret are below the stage pointing up. It was invented in 1850 by J. Lawrence Smith, a faculty member of Tulane University (then named the Medical College of Louisiana).<br /><br /><br /><br />Inverted microscopes are useful for observing living cells or organisms at the bottom of a large container (e.g. a tissue culture flask) under more natural conditions than on a glass slide, as is the case with a conventional microscope. Inverted microscopes are also used in micromanipulation applications where space above the specimen is required for manipulator mechanisms and the microtools they hold, and in metallurgical applications where polished samples can be placed on top of the stage and viewed from underneath using reflecting objectives.<br /><br /><br /><br />The stage on an inverted microscope is usually fixed, and focus is adjusted by moving the objective lens along a vertical axis to bring it closer to or further from the specimen. The focus mechanism typically has a dual concentric knob for coarse and fine adjustment. Depending on the size of the microscope, four to six objective lenses of different magnifications may be fitted to a rotating turret known as a nosepiece. These microscopes may also be fitted with accessories for fitting still and video cameras, fluorescence illumination, confocal scanning and many other applications.",2/4/14
BCODMO/676,pCO2 Sensor,,A sensor that measures the partial pressure of CO2 in water (pCO2),2/4/14
BCODMO/677,Salinometer,,"A salinometer is a device designed to measure the salinity, or dissolved salt content, of a solution.",2/4/14
BCODMO/678,Water Quality Multiprobe,,An instrument which measures multiple water quality parameters based on the sensor configuration.,2/4/14
BCODMO/679,Refractometer,,"A refractometer is a laboratory or field device for the measurement of an index of refraction (refractometry). The index of refraction is calculated from Snell's law and can be calculated from the composition of the material using the Gladstone-Dale relation.<br /><br /><br /><br />In optics the refractive index (or index of refraction) n of a substance (optical medium) is a dimensionless number that describes how light, or any other radiation, propagates through that medium.",2/4/14
BCODMO/680,Multi Parameter Bench Meter,,"An analytical instrument that can measure multiple parameters, such as pH, EC, TDS, DO and Temperature with one device.",2/4/14
BCODMO/681,Benchtop pH Meter,,An instrument consisting of an electronic voltmeter and pH-responsive electrode that gives a direct conversion of voltage differences to differences of pH at the measurement temperature.  (McGraw-Hill Dictionary of Scientific and Technical Terms)<br /><br />This instrument does not map to the NERC instrument vocabulary term for 'pH Sensor' which measures values in the water column.  Benchtop models are typically employed for stationary lab applications.,2/4/14
BCODMO/682,Automatic titrator,,Instruments that incrementally add quantified aliquots of a reagent to a sample until the end-point of a chemical reaction is reached.,2/4/14
BCODMO/683,Flow injection lumogallion system with fluorometer,,"An analytical system used to determine concentrations of chemical species in a sample based on the fluorescence from the reaction between lumogallion and the species of interest. The system typically comprises individual components typically including pumps, injection and autosampler valves, preconcentration columns and a fluorometer. The system is normally uniquely assembled for each analysis.<br />(From SeaDataNet)",2/4/14
BCODMO/684,Floating Pound Net,,"Pound nets are passive, stationary gear used for live entrapment of fish species. The gear is composed of fiber netting. Floating pound nets use floating toggles and buoys at the surface and are held taught below the surface using anchors.<br /><br /><br />A pound net consists of: (1) a net body or crib where the entrapment takes place, (2) a least one mesh heart that helps funnel fish into the crib, and (3) a straight leader or hedging which leads fish toward the crib. Fish swimming along the shore are turned toward the crib by the hedging, guided into the heart, and into the crib where they are removed.<br /><br /><br /><br />(Description from <a href=""http://www.dnr.state.md.us/fisheries/commercial/poundnets/index.asp?p=general"" target=""_blank"">Maryland Dept of Natural Resources</a>)",2/4/14
BCODMO/685,Mass Spectrometer,,General term for instruments used to measure the mass-to-charge ratio of ions; generally used to find the composition of a sample by generating a mass spectrum representing the masses of sample components.,2/4/14
BCODMO/686,MARIANDA VINDTA 3C total inorganic carbon and titration alkalinity analyser ,," The Versatile INstrument for the Determination of Total inorganic carbon and titration Alkalinity (VINDTA) 3C is a laboratory alkalinity titration system combined with an extraction unit for coulometric titration, which simultaneously determines the alkalinity and dissolved inorganic carbon content of a sample. The sample transport is performed with peristaltic pumps and acid is added to the sample using a membrane pump. No pressurizing system is required and only one gas supply (nitrogen or dry and CO2-free air) is necessary. The system uses a Metrohm Titrino 719S, an ORION-Ross pH electrode and a Metrohm reference electrode. The burette, the pipette and the analysis cell have a water jacket around them. Precision is typically +/- 1 umol/kg for TA and/or DIC in open ocean water.",2/4/14
BCODMO/687,Riso Laboratory Anti-coincidence Beta Counters,,"Low-level beta detectors manufactured by Riso (now Nutech) in Denmark. These instruments accept samples that can be mounted on a 25mm filter holder. These detectors have very low backgrounds, 0.17 counts per minute, and can have counting efficiencies as high as 55%.</p><p>See:<br /><a href=""http://cafethorium.whoi.edu/website/about/services_radioanalytical_facility_equip.html"" target=""_blank"">http://cafethorium.whoi.edu/website/about/services_radioanalytical_facility_equip.html</a><br />and<br /><a href=""http://www.nutech.dtu.dk/Produkter/Dosimetri/NUK_instruments/GM_multicounter.aspx"" target=""_blank"">http://www.nutech.dtu.dk/Produkter/Dosimetri/NUK_instruments/GM_multicounter.aspx</a>",2/4/14
BCODMO/688,Radium Delayed Coincidence Counter,,"The RaDeCC is an alpha scintillation counter that distinguishes decay events of short-lived radium daughter products based on their contrasting half-lives. This system was pioneered by Giffin et al. (1963) and adapted for radium measurements by Moore and Arnold (1996).<br /><br /></p><p>References:<br /><br />Giffin, C., A. Kaufman, W.S. Broecker (1963). Delayed coincidence counter for the assay of actinon and thoron. J. Geophys. Res., 68, pp. 1749-1757.<br /><br />Moore, W.S., R. Arnold (1996). Measurement of 223Ra and 224Ra in coastal waters using a delayed coincidence counter.<br />J. Geophys. Res., 101 (1996), pp. 1321-1329.<br /><br />Charette, Matthew A.; Dulaiova, Henrieta; Gonneea, Meagan E.; Henderson, Paul B.; Moore, Willard S.; Scholten, Jan C.; Pham, M. K. (2012). GEOTRACES radium isotopes interlaboratory comparison experiment. Limnology and Oceanography - Methods, vol 10, pg 451.",2/4/14
BCODMO/689,BASi EC-epsilon 2 Autoanalyzer,,"The Bioanalytical Systems EC epsilon is a family of potentiostat/galvanostats for electrochemistry. The most basic epsilon instrument can be used for standard techniques, as well as chronopotentiometry for materials characterization (e.g., characterization of transition metal complexes by cyclic voltammetry and controlled potential electrolysis, or of biosensors by cyclic voltammetry and constant potential amperometry). Pulse, square wave, and stripping techniques can be added by a software upgrade, and a second channel can be added by a hardware upgrade.</p><p><a href=""http://www.basinc.com/products/ec/epsilon/"">http://www.basinc.com/products/ec/epsilon/</a>",2/4/14
BCODMO/690,BASi Controlled Growth Mercury Electrode,,"Bioanalytical Systems (BASi) Mercury drop electrodes are generated by the BASi Controlled Growth Mercury Electrode (CGME) in three modes:</p><p>    DME (Dropping Mercury Electrode) - mercury is allowed to flow freely from the reservoir down the capillary and so the growth of the mercury drop and its lifetime is controlled by gravity. (The optional 100 um capillary is recommended for this mode.)</p><p>    SMDE (Static Mercury Drop Electrode) - the drop size is determined by the length of time for which the fast-response capillary valve is opened, and the drop is dislodged by a drop knocker. The dispense/knock timing is microprocessor-controlled and is typically coordinated with the potential pulse or square-wave waveform. This mode can also used to generate the Hanging Mercury Drop Electrode required for stripping experiments.</p><p>    CGME (Controlled Growth Mercury Electrode) - the mercury drop is grown by a series of pulses that open the capillary valve. The number of pulses, their duration, and their frequency can be varied by PC control, providing great flexibility in both the drop size and its rate of growth. This CGME mode can be used for both polarographic and stripping experiments.</p><p><a href=""http://www.basinc.com/products/ec/cgme.php"">http://www.basinc.com/products/ec/cgme.php</a>",2/4/14
BCODMO/691,Aerosol Sampler,,A device that collects a sample of aerosol (dry particles or liquid droplets) from the atmosphere.,2/4/14
BCODMO/692,Cold Vapor Atomic Fluorescence Spectrophotometer,,"A Cold Vapor Atomic Fluorescent Spectrophotometer (CVAFS) is an instrument used for quantitative determination of volatile heavy metals, such as mercury. CVAFS make use of the characteristic of mercury that allows vapor measurement at room temperature. Mercury atoms in an inert carrier gas are excited by a collimated UV light source at a particular wavelength. As the atoms return to their non-excited state they re-radiate their absorbed energy at the same wavelength. The fluorescence may be detected using a photomultiplier tube or UV photodiode. ",2/4/14
BCODMO/693,Precipitation Sampler,,"A device that collects a sample of precipitation (rain, hail or snow) as it falls.",2/4/14
BCODMO/694,Turner Designs 700 Laboratory Fluorometer,,"The TD-700 Laboratory Fluorometer is a benchtop fluorometer designed to detect fluorescence over the UV to red range. The instrument can measure concentrations of a variety of compounds, including chlorophyll-a and fluorescent dyes, and is thus suitable for a range of applications, including chlorophyll, water quality monitoring and fluorescent tracer studies. Data can be output as concentrations or raw fluorescence measurements.",2/4/14
BCODMO/695,Microscope-Fluorescence,,"Instruments that generate enlarged images of samples using the phenomena of fluorescence and phosphorescence instead of, or in addition to, reflection and absorption of visible light. Includes conventional and inverted instruments.<br />From: <a href=""http://vocab-mappings.whoi.edu/taxonomy/term/109"">http://vocab-mappings.whoi.edu/taxonomy/term/109</a>",2/4/14
BCODMO/696,Perkin Elmer Lambda 35 Spectrophotometer,,"The Lambda 35 is a double beam UV/Vis spectrophotometer from Perkin Elmer, packing pre-aligned Tungsten and Deuterium Lamps. It has a wavelength range of 190-1100nm and a variable bandwidth range of 0.5 to 4nm.",2/4/14
BCODMO/697,Metrohm 663 VA Stand mercury electrode,,"The Metrohm 663 VA stand forms the wet chemical part of a polarographic and voltammetric analytical system. It features a mercury electrode, an Ag/AgCl reference electrode and a glassy carbon counter electrode. The size of the mercury drop and the stirrer speed are set manually on the VA Stand. The VA Stand can be operated in Dropping Mercury Electrode (DME), Hanging Mercury Drop Electrode (HMDE) and Static Mercury Drop Electrode (SMDE) modes. The VA Stand can be controlled by a potentiostat in conjunction with the Metrohm IME663 interface.",2/4/14
BCODMO/698,Voltammetry Analyzers,,Instruments that obtain information about an analyte by applying a potential and measuring the current produced in the analyte.,2/4/14
BCODMO/699,Spectrophotometer with Liquid Core Waveguide- WPI,,"The World Precision Instruments (WPI) Multiple Pathlength Liquid Core Waveguide (MPLCW) system is an instrument package combining a Liquid Waveguide Capillary Cell (LWCC) and a WPI spectrophotometer via fiber optics.  The waveguide is a fiber optic cell that combines an increased optical pathlength (50500cm) with small sample volume (1251250L). Ultra-sensitive absorbance measurements can be performed in the ultraviolet (UV), visible (VIS) and near-infrared (NIR) to detect low sample concentrations in a laboratory or process control environment. (<a href=""http://www.whpiinc.com"">www.whpiinc.com</a>)",2/4/14
BCODMO/700,Bran Luebbe AA3 AutoAnalyzer,,"Bran Luebbe AA3 AutoAnalyzer<br /><br />See the <a href=""http://seal-analytical.com/Products/AA3-SFA-Analyzer.aspx"" target=""_blank"">description from the manufacturer</a>.",2/4/14
BCODMO/701,Oxygen Microelectrode Sensor,,"A miniaturized Clark-type dissolved oxygen instrument, including glass micro-sensors with minute tips (diameters ranging from 1 to 800 um). A gold or platinum sensing cathode is polarized against an internal reference and, driven by external partial pressure, oxygen from the environment penetrates through the sensor tip membrane and is reduced at the sensing cathode surface. A picoammeter converts the resulting reduction current to a signal. The size of the signal generated by the electrode is proportional to the flux of oxygen molecules to the cathode.The sensor also includes a polarized guard cathode, which scavenges oxygen in the electrolyte, thus minimizing zero-current and pre-polarization time.With the addition of a meter and a sample chamber, the respiration of a small specimen can be measured.  Example: Strathkelvin Inst. <a href=""http://www.strathkelvin.com"">http://www.strathkelvin.com</a>",2/4/14
BCODMO/702,AUV Sentry,,"The autonomous underwater vehicle (AUV) Sentry is a fully autonomous underwater vehicle capable of exploring the ocean down to 6,000 meters (19,685 feet) depth. Sentry builds on the success of its predecessor the ABE, with improved speed, range, and maneuverability. <br />Sentry's hydrodynamic shape also allows faster ascents and descents. Sentry carries a superior science sensor suite and an increased science payload enabling it to be used for both mid-water and near-seabed oceanographic investigations. Sentry produces bathymetric, sidescan, subbottom, and magnetic maps of the seafloor and is capable of taking digital bottom photographs in a variety of deep-sea terrains such as mid-ocean ridges, deep-sea vents, and cold seeps at ocean margins. Sentry is uniquely able to operate in extreme terrain, including volcano caldera and scarps. Sentry's navigation system uses a doppler velocity log and inertial navigation system, aided by acoustic navigation systems (USBL or LBL). The USBL system also provides acoustic communications, which can be used to obtain the vehicle state and sensor status as well as to retask the vehicle while on the bottom. In addition its standard sensors, Sentry has carried a variety of science-supplied sensors, including the Nakamura redox potential probe, ACFR 3-D imaging system, and the Tethys in-situ mass spectrometer.<br /><br />Sentry can be used to locate and quantify hydrothermal fluxes. Sentry is also capable of a much wider range of oceanographic applications due to its superior sensing suite, increased speed and endurance, improved navigation, and acoustic communications. Sentry can be used as a stand alone vehicle or in tandem with Alvin or an ROV to increase the efficiency of deep-submergence investigations.<br /><br />More information is available from the operator site at URL: <a href=""http://www.whoi.edu/main/sentry"">http://www.whoi.edu/main/sentry</a>",2/4/14
BCODMO/703,Light Meter,,"Light meters are instruments that measure light intensity. Common units of measure for light intensity are umol/m2/s or uE/m2/s (micromoles per meter squared per second or microEinsteins per meter squared per second). (example: <a href=""http://www.licor.com/env/products/light/light_meter.html"" target=""_blank"">LI-COR 250A</a>)",2/4/14
BCODMO/704,Hemocytometer,,"A hemocytometer is a small glass chamber, resembling a thick microscope slide, used for determining the number of cells per unit volume of a suspension. Originally used for performing blood cell counts, a hemocytometer can be used to count a variety of cell types in the laboratory. Also spelled as ""haemocytometer"". Description from:<br /><a href=""http://hlsweb.dmu.ac.uk/ahs/elearning/RITA/Haem1/Haem1.html"" target=""_blank"">http://hlsweb.dmu.ac.uk/ahs/elearning/RITA/Haem1/Haem1.html</a>.",2/4/14
BCODMO/705,Dissolved Oxygen Sensor,,An electronic device that measures the proportion of oxygen (O2) in the gas or liquid being analyzed,2/4/14
BCODMO/706,HROV Nereus,,"Nereus is an efficient, multi-purpose hybrid vehicle that can explore and operate in the crushing pressures of the greatest ocean depths.  An unmanned vehicle, Nereus operates in two complementary modes. It can swim freely as an autonomous underwater vehicle (AUV) to survey large areas of the depths, map the seafloor, and give scientists a broad overview. When Nereus locates something interesting, the vehicles support team can bring the vehicle back on board the ship and transforms it into a remotely operated vehicle (ROV) tethered to the ship via a micro-thin, fiber-optic cable. Through this tether, Nereus can transmit high-quality, real-time video images and receive commands from skilled pilots on the ship to collect samples or conduct experiments with a manipulator arm.</p><p>Technical specifications:</p><ul><li>Weight on land: 2,800 kg </li><li>Payload capacity: 25 kg </li><li>Maximum speed: 3 knots </li><li>Batteries: rechargable lithium ion, 15 kilowatt hours in two pressure housings </li><li>Thrusters: 2 fore and aft, 2 vertical, 1 lateral (ROV mode) 2 fore and aft, 1 vertical (AUV mode)</li><li>Lights: variable output LED array, strobes </li><li>Manipulator arm:  Kraft TeleRobotics 7-function hydraulic manipulator</li><li>Sonar: scanning sonar, forward look and profile, 675 KHz </li><li>Sensors: magnetometer, CTD (to measure conductivity, temperature, and depth)</li></ul><p>Nereus supports a variety of science operations:  Push coring, measuring heat flow, geotechnical and geochemical sensing, rock sampling and drilling, biological sampling, water sampling, high resolution acoustic bathymetry, and optical still and video imagery.<br /></p><br /><a href="""" target=""_blank""> More information</a> is available from the operator site at URL.</div>",2/4/14
BCODMO/707,Spectrophotometer,,"An instrument used to measure the relative absorption of electromagnetic radiation of different wavelengths in the near infra-red, visible and ultraviolet wavebands by samples.",2/4/14
BCODMO/708,Microscope-Optical,,Instruments that generate enlarged images of samples using the phenomena of reflection and absorption of visible light. Includes conventional and inverted instruments.,2/4/14
BCODMO/709,Microscope-Electron,,Instruments that generate enlarged images of samples using the phenomena of reflection and absorption of electrons behaving as waves.,2/4/14
BCODMO/710,Salinity Sensor,,Category of instrument that simultaneously measures electrical conductivity and temperature in the water column to provide temperature and salinity data.,2/4/14
BCODMO/711,Aquarium,,Aquarium - a vivarium consisting of at least one transparent side in which water-dwelling plants or animals are kept,2/4/14
BCODMO/712,Mass Flow Controller,,Mass Flow Controller (MFC) - A device used to measure and control the flow of fluids and gases,2/4/14
BCODMO/713,Airstone,,"Airstone - Also called an aquarium bubbler, is a piece of aquarium furniture, traditionally a piece of limewood or porous stone, whose purpose is to gradually diffuse air into the tank, eliminating the noise and large bubbles of conventional air filtration systems",2/4/14
BCODMO/714,Scale,,An instrument used to measure weight or mass.,2/4/14
BCODMO/715,Isaacs-Kidd Midwater Trawl,,A trawl with a pentagonal mouth opening and a dihedral depressor vane as part of the mouth opening. IKMTs come in various dimensions (refer to individual dataset documentation).</p><p>The original IKMTs were 10 foot (304 cm) and 15 foot (457 cm) at the mouth. The 10 foot IKMT net was 31 feet (9.45 m) in length (Wiebe and Benfield 2003).,2/4/14
BCODMO/716,Simrad EK-60 echosounder,,A split-beam scientific echosounder primarily designed for fisheries research. It can operate seven frequencies simultaneously ranging from 18 to 710 kHz. Real time echo integration and target strength analysis in an unlimited number of layers is provided as well as storage of raw data for replay or analysis in one of several post-processing software packages such as Simrad's BI60.,2/4/14
BCODMO/717,Mass Spectrometer - Carlo-Ebra EA NC2500,,The Carlo-Erba NA 1500 elemental analyzer-isotope ratio mass spectrometer is an instrument designed for the simultaneous determination of total nitrogen and carbon in a wide range of organic and inorganic samples. ,2/4/14
BCODMO/718,Materials Testing System,,Testing systems that are used to test a wide range of<br />materials in tension or compression.,2/4/14
BCODMO/719,Conductivity Meter,,"Conductivity Meter - An electrical conductivity meter (EC meter) measures the electrical conductivity in a solution. Commonly used in hydroponics, aquaculture and freshwater systems to monitor the amount of nutrients, salts or impurities in the water.",2/4/14
BCODMO/720,Gas Analyzer,,Gas Analyzers - Instruments for determining the qualitative and quantitative composition of gas mixtures.,2/4/14
BCODMO/721,Turbidity Meter,,"A turbidity meter measures the clarity of a water sample. A beam of light is shown through a water sample. The turbidity, or its converse clarity, is read on a numerical scale. Turbidity determined by this technique is referred to as the nephelometric method from the root meaning ""cloudiness"". This word is used to form the name of the unit of turbidity, the NTU (Nephelometric Turbidity Unit). The meter reading cannot be used to compare the turbidity of different water samples unless the instrument is calibrated. Description from: <a href=""http://www.gvsu.edu/wri/education/instructor-s-manual-turbidity-10.htm"" target=""_blank"">http://www.gvsu.edu/wri/education/instructor-s-manual-turbidity-10.htm</a></p><p>(One example is the <a href=""http://www.thermoscientific.com/ecomm/servlet/productsdetail_11152___12769444_-1"" target=""_blank"">Orion AQ4500 Turbidimeter</a>)",2/4/14
BCODMO/722,Stainless Steel Sampling Bottle,,A stainless steel sampling bottle used for collecting near surface samples (not a GO-FLO bottle),2/4/14
BCODMO/723,Liquid Waveguide Capillary Cells,,"Liquid Waveguide Capillary Cells (LWCC) are optical sample cells that combine an increased optical pathlength (2-500 cm) with small sample volumes (5-1250 ?L).  They can be connected via optical fibers to a spectrophotometer with fiber optic capabilities. Similar to optical fibers, light is confined within the (liquid) core of an LWCC by total internal reflection at the core/wall interface. Ultra-sensitive absorbance measurements can be performed in the ultraviolet (UV), visible (VIS) and near-infrared (NIR) to detect low sample concentrations in a laboratory or process control environment. According to Beers Law the absorbance signal is proportional to chemical concentration and light path length.",2/4/14
BCODMO/724,Equilibrator Inlet Mass Spectrometer,,"Anal Chem. 2009 Mar 1;81(5):1855-64. doi: 10.1021/ac802300u.<br />Continuous high-frequency dissolved O2/Ar measurements by equilibrator inlet mass spectrometry.<br /><br />Cassar N, Barnett BA, Bender ML, Kaiser J, Hamme RC, Tilbrook B.<br /><br />Source:<br /><br />Department of Geosciences, Princeton University, Princeton, New Jersey 08544, USA. <a href=""mailto:ncassar@princeton.edu"">ncassar@princeton.edu</a><br /><br /><br /><br /><b>Abstract</b><br /><br />The oxygen (O(2)) concentration in the surface ocean is influenced by biological and physical processes. With concurrent measurements of argon (Ar), which has similar solubility properties as oxygen, we can remove the physical contribution to O(2) supersaturation and determine the biological oxygen supersaturation. Biological O(2) supersaturation in the surface ocean reflects the net metabolic balance between photosynthesis and respiration, i.e., the net community productivity (NCP). We present a new method for continuous shipboard measurements of O(2)/Ar by equilibrator inlet mass spectrometry (EIMS). From these measurements and an appropriate gas exchange parametrization, NCP can be estimated at high spatial and temporal resolution. In the EIMS configuration, seawater from the ship's continuous intake flows through a cartridge enclosing a gas-permeable microporous membrane contactor. Gases in the headspace of the cartridge equilibrate with dissolved gases in the flowing seawater. A fused-silica capillary continuously samples headspace gases, and the O(2)/Ar ratio is measured by mass spectrometry. The ion current measurements on the mass spectrometer reflect the partial pressures of dissolved gases in the water flowing through the equilibrator. Calibration of the O(2)/Ar ion current ratio (32/40) is performed automatically every 2 h by sampling ambient air through a second capillary. A conceptual model demonstrates that the ratio of gases reaching the mass spectrometer is dependent on several parameters, such as the differences in molecular diffusivities and solubilities of the gases. Laboratory experiments and field observations performed by EIMS are discussed. We also present preliminary evidence that other gas measurements, such as N(2)/Ar and pCO(2) measurements, may potentially be performed with EIMS. Finally, we compare the characteristics of the EIMS with the previously described membrane inlet mass spectrometry (MIMS) approach.<br /><br /><br /><br />PMID:<br /><br />    19193192<br /><br />    [PubMed - indexed for MEDLINE]<br />",2/4/14
BCODMO/725,Thermistor,,"A thermistor is a type of resistor whose resistance varies significantly with temperature, more so than in standard resistors. The word is a portmanteau of thermal and resistor. Thermistors are widely used as inrush current limiters, temperature sensors, self-resetting overcurrent protectors, and self-regulating heating elements.<br /><br /><br /><br />Thermistors differ from resistance temperature detectors (RTD) in that the material used in a thermistor is generally a ceramic or polymer, while RTDs use pure metals. The temperature response is also different; RTDs are useful over larger temperature ranges, while thermistors typically achieve a higher precision within a limited temperature range, typically 90 C to 130 C.",2/4/14
BCODMO/726,Pump,,"A pump is a device that moves fluids (liquids or gases), or sometimes slurries, by mechanical action. Pumps can be classified into three major groups according to the method they use to move the fluid: direct lift, displacement, and gravity pumps",2/4/14
BCODMO/727,Optode,,An optode or optrode is an optical sensor device that optically measures a specific substance usually with the aid of a chemical transducer.,2/4/14
BCODMO/728,Laser Diffraction Particle Size Analyzer,,Laser diffraction is particle sizing technique for materials ranging from hundreds of nanometers up to several millimeters in size. Laser diffraction measures particle size distributions by measuring the angular variation in intensity of light scattered as a laser beam passes through a dispersed particulate sample. One example is the Beckman Coulter LS200.,2/4/14
BCODMO/729,SeapHOx/SeaFET,,"The ""SeapHOx"" and ""SeaFET"" are autonomous pH sensors designed and developed by the Todd Martz Lab at Scripps Institution of Oceanography. Both packages are based on a modified Honeywell DuraFET ISFET pH sensor. The SeapHOx contains additional integrated sensors for dissolved oxygen (AADI 3835) and salinity (SBE-37). <a href=""http://martzlab.ucsd.edu/research/SeaFET.html"" target=""_blank"">More information is available from the Martz Lab</a>. Also see <a href=""http://dx.doi.org/10.4319/lom.2010.8.172"" target=""_blank"">Martz et al. (2010)</a>.",2/4/14
BCODMO/471924,Wildlife Computers Mk10 Pop-up Archival Tag (PAT),,"The Pop-up Archival Transmitting (Mk10-PAT) tag, manufactured by <a href=""http://www.wildlifecomputers.com/default.aspx"" target=""_blank"">Wildlife Computers</a>, is a combination of archival and Argos satellite technology. It is designed to track the large-scale movements and behavior of fish and other animals which do not spend enough time at the surface to allow the use of real-time Argos satellite tags. The PAT can be configured to transmit time-at-depth and time-at-temperature histograms, depth-temperature profiles, and/or light-level curves. The histogram duration (1 to 24 hours) and bin ranges can also be configured. PAT archives depth, temperature, and light-level data while being towed by the animal. At a user-specified date and time, the PAT actively corrodes the pin to which the tether is attached, thus releasing the PAT from the animal. The PAT then floats to the surface and transmits summarized information via the Argos system. Argos also uses the transmitted messages to provide the position of the tag at the time of release.",2/4/14
BCODMO/473474,Shipboard Surface Mapping System,,"Surface Mapping System (SMS): The SMS records navigation, meteorological and sea surface data every 10 seconds.",2/4/14
BCODMO/473122,ITRAX X-ray Fluoresence Core Scanner,,"An Itrax X-ray Fluoresence (XRF) core scanner provides high-resolution, non-destructive elemental analysis of sediment cores. They can provide optical and radiographic images as well as XRF spectrometry elemental profiles. Itrax instruments may accommodate a variety of sample types including sediment and rock cores, speleothems, corals and wood.",2/4/14
BCODMO/473306,Technicon AutoAnalyzerII,,"A rapid flow analyzer that may be used to measure nutrient concentrations in seawater. It is a continuous segmented flow instrument consisting of a sampler, peristaltic pump, analytical cartridge, heating bath, and colorimeter. See <a href=""http://seal-analytical.com/Products/AutoAnalyzer-II.aspx"" target=""_blank"">more information about this instrument from the manufacturer</a>.",2/4/14
BCODMO/473308,Alpkem RFA300,,"A rapid flow analyser (RFA) that may be used to measure nutrient concentrations in seawater. It is an air-segmented, continuous flow instrument comprising a sampler, a peristaltic pump which simultaneously pumps samples, reagents and air bubbles through the system, analytical cartridge, heating bath, colorimeter, data station, and printer. The RFA-300 was a precursor to the smaller Alpkem RFA/2 (also RFA II or RFA-2).",2/4/14
BCODMO/471582,PCR Thermal Cycler,,"General term for a laboratory apparatus commonly used to amplify segments of DNA via the polymerase chain reaction (PCR).</p><p>(adapted from wikipedia, for more information see<a href=""http://en.wikipedia.org/wiki/Thermal_cycler"">http://en.wikipedia.org/wiki/Thermal_cycler</a>)",2/4/14
BCODMO/471592,Electrophoresis Chamber,,"<div xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"">General term for an apparatus used in clinical and research laboratories to separate charged colloidal particles (or molecules) of varying size through a medium by applying an electric field.</div>",2/4/14
