"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L05/LAB33";"laboratory autosamplers";"";"Laboratory apparatus  that automatically introduces one or more samples with a predetermined volume or mass into an analytical instrument.";"2012-03-01"
"L05/LAB34";"chemiluminescence analysers";"";"Laboratory apparatus that detemines the concentration of a chemical species by quantification of the electromagnetic radiation (usually visible light) produced by a chemical reaction.";"2012-03-22"
"L05/LAB35";"voltammetry analysers";"";"Instruments that obtain information about an analyte by applying a potential and measuring the current produced in the analyte.";"2012-08-02"
"L05/LAB36";"flow injection analysers";"";"Instruments that inject a sample into a flowing carrier solution, adding reagents whilst controlling the environment to produce a chemical reaction before passing the sample to a detector.";"2012-08-02"
"L05/LAB37";"flow cytometers";"";"Instruments that suspend cells in a stream of fluid past detection sensors whilst illuminating them with laser light. Used for cell counting, sorting, biomarker detection and protein engineering.";"2012-08-02"
"L05/LAB38";"cavity ring-down spectroscopes";"CRDS";"Instruments that illuminate a sample inside an optical cavity, typically using laser light, and measure the absolute optical extinction of the sample resulting from scattering and absorption.";"2012-08-21"
"L05/LAB39";"Geiger counters";"";"Instruments that measure the amount of alpha, beta or gamma radiation through quantification of the ionization of a low-pressure gas contained in a tube. Sometimes referred to as Geiger-Müller counters.";"2012-08-30"
"L05/LAB40";"Volume measures";"";"Pieces of apparatus that determine the volume of a liquid sample or dispense measured volumes of liquid. Includes devices covering a wide range of sophistication from measuring cylinders, syringes and manual pipettes through to programmable electronic instruments.";"2012-11-29"
"L05/LAB41";"laboratory cameras";"";"All types of photographic equipment that are hand-held or part of laboratory apparatus including stills, video, film and digital systems.";"2013-12-19"
"L05/LAB42";"laboratory optical rangefinders";"";"Devices used to detect the distance between sensor and sample or presence/absence of an object based a light (often infrared and possibly laser) transmitter and a photoelectric receiver.";"2013-12-19"
"L05/LBTG";"labelling tags";"";"Passive devices attached to captured organisms to specifically identify them when recaptured after release.";"2013-02-26"
"L05/MMIS";"multi-frame imaging sonar";"";"High-frequency (>1 MHz), possibly multiple frequency, active sonar systems that provide images approaching the same quality as optical video cameras. They may be deployed in many ways including hand-held by divers, attached to profiling instruments, AUVs and ROVs, towed fish or moorings.  They have many scientific, commercial and military applications including observation and identification of fish, seabed characterisation, underwater vessel inspections and mine detection. Examples of this type of system are DIDSON (Dual-frequency IDentification SONar) and LIMIS (Limpet Mine Imaging Sonar).  Any instrument that may be considered the underwater acoustic equivalent of an optical video camera belongs in this category.";"2013-02-18"
"L05/MOD01";"Global models";"";"Numerical models that make predictions over the whole globe.";"2012-07-16"
"L05/MOD02";"Regional models";"";"Numerical models that make predictions within a limited geographic area.";"2012-07-16"
"L05/MOD03";"Atmosphere models";"";"Numerical models the make predictions in the atmosphere assuming that it is a closed system that doesn't interact with the hydrosphere.";"2012-07-16"
"L05/MOD04";"Ocean models";"";"Numerical models the make predictions in the hydrosphere assuming that it is a closed system that doesn't interact with the atmosphere.";"2012-07-16"
"L05/MOD05";"Coupled models";"";"Numerical models that make predictions in both the atmosphere and the hydrosphere by considering both spheres as a single system.";"2012-07-16"
"L05/MOD06";"Meteorological models";"";"Numerical models that make predictions of weather parameters such as air temperature, pressure, humidity and winds.";"2012-07-16"
"L05/MOD07";"Physical oceanographic models";"";"Numerical models that make predictions of physical oceanographic parameters such as water body temperature, salinity, currents and waves.";"2012-07-16"
"L05/MOD08";"Biological and biogeochemical models";"";"Numerical models that make predictions of biological parameters, including ecosystem models.";"2012-07-16"
"L05/MVBR";"marine vibroseis";"";"A marine seismic source generating sweeps of controlled varying frequency (from a few Hz to hundreds of Hz) and duration.";"2010-10-18"
"L05/NATS";"natural source";"";"Any kind of natural source of acoustic waves, that can be used in passive seismics.";"2013-02-26"
"L05/POS01";"Decca Navigator System main chain receivers";"Decca main chain";"<frequency>70 and 130kHz</frequency><mode>hyperbolic</mode><range>450km (day) to 750km (night)</range><accuracy>50m(day) to 200m (night) in good conditions down to 2km near range limit</accuracy><operating>WWII to 2001-03 (2000-03-31 in UK)</operating><notes> Transmitter groups, each with a master and three slaves</notes>.";"2013-02-26"
"L05/POS02";"Global Navigation Satellite System receivers";"GLONASS";"<notes>Based on a network of satellites deployed by the former Soviet Union.  The network was initiated in 1976 but fell into disrepair before full global coverage was reached during the political upheaval of the early 90s</notes>.";"2010-02-19"
"L05/POS03";"NAVSTAR Global Positioning System receivers";"GPS";"<accuracy>better than 100m</accuracy><notes>Global navigation based on a network of satellites deployed and maintained by the USA.</notes>.";"2013-02-26"
"L05/POS04";"Differential Global Positioning System receivers";"DGPS";"<accuracy>better than 100m to better than 10m</accuracy><notes>GPS augmented by a network of fixed ground stations that continuously broadcast the difference between their true locations and the location determined from the satellites.</notes>.";"2013-02-26"
"L05/POS05";"Long Range Navigation version C receivers";"LORAN C";"<frequency>70-130kHz</frequency><mode>hyperbolic</mode><range>950kmto 1700km (day): 650km to 1250km (day)</range><operational>1947 to 2010. Maintained as GPS backup in the EU.</operational><notes>Global navigation based on transmitters in several European countries, Japan, Canada (until 2002-10) and USA (until 2010-02-08).</notes>.";"2013-02-26"
"L05/POS06";"Marine chronometers";"Clock";"<notes>Timepieces of sufficient precision to allow their use of portable time standards.</notes>.";"2013-02-26"
"L05/POS07";"Sextants";"Sextant";"<notes>Optical instruments that accurately measure the angle between pairs of visible celestial bodies such as the sun, moon or stars. </notes>.";"2013-02-26"
"L05/POS08";"Decca Navigator System HiFix receivers";"Decca HiFix";"<frequency>1.6MHz</frequency><mode>hyperbolic</mode><range>under 100km</range><accuracy>better than 10m: maximum accuracy at 50km range is 1.5m</accuracy><operating>1962 to 2000</operating><notes>Not for general navigation.  Chains usually set up for specific surveys.</notes>.";"2013-02-26"
"L05/POS09";"Toran receivers";"Toran";"<frequency>around 2MHz</frequency><mode>hyperbolic</mode><range>150-200km</range><accuracy>better than 20m</accuracy><notes>Mostly used for aircraft.</notes>.";"2013-02-26"
